风格名称,lora名称,lora_weight,pt名称,before_prompt,after_prompt,negative_prompt,大模型,训练方式,任务类型,文生图生成器,图生图生成器
Wood Tone,RawWoodInterior_SDXL_v0,1,test_embeddings,,"Natural wood elements, minimalist aesthetic, Warm and rustic atmosphere,Simple and organic aesthetics, Maximizing natural light, very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 8K, high resolution, more details , masterpiece, super detailed","bad anatomy, error, low quality, signature, watermark, username, Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches, cropped, error, mutation, poorly drawn,  bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly, humans, Insufficient lighting leading to a dim atmosphere, Lack of tactile surfaces in materials",Realistic,,["Interior Design"],SDXL-IP0,SDXL-IP0
Modern Glamorous ,LargeSpace_SDXL_v0,0.9,test_embeddings,,"The interior design of the villa is rich in texture and layering, with high ceilings, wide open spaces, minimalist aesthetics, dark textured materials, reasonable light, eye-catching and exquisite decorative details, noble and elegant color palette, gorgeous and exquisite Ambience, high quality materials and finishes, spacious and majestic layouts, flat natural marble, ceramics, metal sheets,very detailed,best quality, Masterpiece, photo realistic, MDR, UND, 8K, high resolution,more details ,masterpiece,super detailed","The light is messy, lacks harmony and balance, the excessive use of dark colors leads to a sense of oppression, Soft material surface，Text appears in corner, lack a gloomy and depressing atmosphere, cheap and tacky finishes, and a plastic texture,bad anatomy,error,low quality,signature,watermark,username，Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches,cropped,error,mutation, poorly drawn , bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly,humans",Realistic,,["Interior Design"],SDXL-IP0,SDXL-IP0
B&W Tattoo,GrayscaleBotanicalPrints_SDXLIP_v0,1,Grayscale_Botanical_Prints_xl_1024_ip_image_embeddings,"Grayscale, Grayscale color scale, (black and white drawing:1.2)","Ultra high definition quality, Masterpiece, best quality, 4K","(nude:1.3), Breasts, nipples, (exposed body:1.5), (naked:1.5), color, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Tattoo Design"],SDXL-IP0.3,SDXL-IP0.3
Watercolor Tattoo,LightWatercolor_SDXLIP_v0,1,Light_Watercolor_xl_1024_15_ip_image_embeddings,"(Grayscale:1.8), Grayscale color scale, (black and white drawing:2.0)","Ultra high definition quality, Masterpiece, best quality, 4K","(colorful:2.0), Breasts, nipples, exposed body, naked, (color:1.8), Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Tattoo Design"],SDXL-IP0.3,SDXL-IP0.3
B&W Old School,BWClassical_SDXLIP_V0,1,BW_Classical_ip_image_embeddings,(black background:1.5),"Precise structure, Continuous lines, complete lines, black background, simple, modern, clean and concise design, while also showing professionalism and innovation, perfect design, graphic, symbol, flat, abstract detail","signature, watermark, username, unnecessary content, (Thin Line:1.5), (Text:1.5), Discontinuous lines, wrong structure, NSFW, (worst quality:2), (low quality:2), normal quality, monochrome, skin spots, skin blemishes, age spot, (ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.5), (too many fingers:1.5), (unclear eyes:1.3), lowers, bad hands, missing fingers, extra digit, extra arms and legs",SDXL,,["LOGO Design"],SDXL-IP0.3,SDXL-IP0.3
Modern Hotel,Conrad_SDXLIP_v0,1,Conrad_xl_1024_ip_image_embeddings,"Cool tone, Ultra high definition quality"," modern hotel interior design, modern decoration, sharpening, Ultra high definition quality, Masterpiece, best quality, 4K","Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Interior Design"],SDXL-IP0.5,SDXL-IP0.45
Industrial,GrayIndustrialStyle_SDXLIP_v0,1,Gray_Industrial_Style2_ip_image_embeddings,,"Industrial style, interior design, minimalist aesthetic, dark textured materials, striking and intricate decorative details, opulent and sophisticated atmosphere, high-quality materials and finishes, spacious and grand layout, interior decoration, no one, Gorgeous, comfortable and smooth layout, clean lines, natural textures, simplicity, beauty, perfect composition, sunlight, realistic background, natural light and high contrast shooting, deep depth of field, mid-distance, masterpiece, high quality, best quality, best picture quality, super detailed, high resolution, 4K, resolution","Messy lighting, lack of harmony and balance, overuse of dark tones resulting in a sense of oppression, text, crop, username, watermark, signature, blur, soft, soft lines, curve, sketch, ugly, sketch, bad proportion, cartoon, 3D, distorted, (normal quality), (low quality), most Bad Quality, Drawing, Sketch, Logo, Low Resolution, (Bad and Mutated Hands: 1.3), (Worst Quality: 2.0), (Missing Fingers), Multiple Limbs, Bad Anatomy, insufficient lighting resulting Dark atmosphere, lack of tactile material surfaces, gloomy and depressing atmosphere, cheap and tacky finishes",SDXL,,["Interior Design"],SDXL-IP0.3,SDXL-IP0.3
Retro Sticker,RetroStickers_SDXLIP_v0,1,Retro_Stickers_ip_image_embeddings,Logo,"badges, logos, text, perfect design, Pattern details, vector illustration, flattened, perfect composition, masterpiece, high quality, best quality, realistic, best picture quality, super detailed, high detail, high resolution, 4K"," signature, watermark, username, text, error, blurred edges, solid, low-quality, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, duplicate, error, beginner, fake, hyper, glitch,  overexposed, monochrome, skin spots, skin blemishe, mutated hands, blurry, (worst quality:2), (low quality:2), (normal quality:2), (ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.5), (poorly drawn hands:1.5), (bad anatomy:1.2), (bad proportions:1.3), (disfigured:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3)",SDXL,,["LOGO Design"],SDXL-IP0.5,SDXL-IP0.5
Mid-Century,Midcentury_SDXLIP_v0,1,Midcentury_ip_image_embeddings,,"Vintage with elements of the Middle Ages, modern furniture, The room layout is correct, very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 8K, high resolution, more details, masterpiece, super detailed,  Spacious and open space, Open floor plan, Simple and fluid lines, distinct geometric shapes, and clear contours, (natural materials such as wood, glass, metal, and stone:0.4),  rustic and unadorned, vibrant neutral colors, comfortable spaces, Charles style, Ray Eames style, Chairs predominantly in leather and metal materials, Modern style sofa","Excessive decorations and intricate details, Unusual ceiling beams, Improperly positioned chair, bad anatomy, error, low quality, signature, watermark, username, Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches, cropped, error, mutation, poorly drawn,  bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly, humans",SDXL,,["Interior Design"],SDXL-IP0.6,SDXL-IP0.6
Boho,boho_SDXLIP_v0,1,boho_ip_image_embeddings,,"Bohemian style small space, bright warm light, Rich texture, Patterns with ethnic characteristics, bohemian style, reasonable room layout, soft fabric materials, very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 4K, high resolution, more details, masterpiece, super detailed, The room is bright and colorful, Compact space layout, many small items placed, Many collectibles are placed in every corner of the space","smooth texture, bad anatomy, error, low quality, signature, watermark, username, Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches, cropped, error, mutation, poorly drawn,  bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly, humans, Chandelier on the ceiling",SDXL,,["Interior Design"],SDXL-IP0.5,SDXL-IP0.5
Minimalist,Minimalist_SDXLIP_v1,1,Minimalist_ip_image_embeddings,," high-quality materials, neutral tones, very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 8K, high resolution, more details, masterpiece, super detailed, ( Correct furniture construction:1.5 )","(a light fixture:2), lamp, chandelier, dim environment, strange ceiling, bad anatomy, error, low quality, signature, watermark, username, Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches, cropped, error, mutation, poorly drawn,  bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly, humans",SDXL,,["Interior Design"],SDXL-IP0.2,SDXL-IP0.2
Scandi,Scandinavian_SDXLIP_v0,1,Scandinavian_ip_image_embeddings,Cool colors,"minimalist, Bright and transparent, light-colored walls, Accurate furniture styling, natural materials, warm textures, textiles, very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 4K, high resolution, more details, masterpiece, super detailed, natural elements","(black:0.8), (vine:2), (wood color:2), (brown color:2), (wooden:2), basket, Wrong light fixture, Weird extra black lines, Wrong furniture shape, (Wrong light and shadow:1.5), Too many plants, too much wood, bad anatomy, error, low quality, signature, watermark, username, Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches, cropped, error, mutation, poorly drawn,  bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly, humans",SDXL,,["Interior Design"],SDXL-IP0.4,SDXL-IP0.4
Coastal,Coast_SDXLIP_v0,1,coast_ip_image_embeddings,,"Light and Airy Spaces, very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 4K, high resolution, more details, masterpiece, super detailed,  natural elements, (white, beige, and soft blue:0.5), Nautical Elements, linen or cotton curtains, throw pillows, and area rugs, the right shape, (Coastal-inspired Artwork:0.6)","(wood color:2), (brown color:2), Wrong light fixture,  Wrong furniture shape, (Wrong light and shadow:1.5), wood, bad anatomy, error, low quality, signature, watermark, username, Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches, cropped, error, mutation, poorly drawn,  bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly, humans",SDXL,,["Interior Design"],SDXL-IP0.2,SDXL-IP0.2
Transitional,Transitional_SDXLIP_v0,1,Transitional_ip_image_embeddings,," very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 4K, high resolution, more details, masterpiece, super detailed","bad anatomy, error, low quality, signature, watermark, username, Blur, Low Pixel, Monochrome, Low Contrast, Low Saturation, text, cropped, sketches, cropped, error, mutation, poorly drawn,  bad proportions, bad shadow, signature, blurry, mosaic, mutilated, disfigured, malformed, ugly, humans",SDXL,,["Interior Design"],SDXL-IP0.3,SDXL-IP0.3
Luminous Narratives,AtmosphereFilter_SDXLIP_v0,1,Atmosphere_filter_xl_1024_ip_image_embeddings,soft lighting,"very detailed, best quality, Masterpiece, MDR, UND, 4K, high resolution, more details, masterpiece, super detailed","Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Portrait Photography"],SDXL-IP0.4,SDXL-IP0.4
No Style,SDXL_empty,0,test_embeddings,,"4K, UHD, highly detailed, high resolution, Best quality, fantastic","(deformed iris, deformed pupils), text, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, (extra fingers), (mutated hands), poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, (fused fingers), (too many fingers), long neck",SDXL,,[],SDXL-IP0,SDXL-IP0
Negative Space,NegativeSpaceLogo_SDXLIP_v0,1,Negative_Space_Logo_xl_1024_ip_image_embeddings,The colors of the image are only black and white,"Two Objects, Minimalist animals, vector, Positive and negative forms, clear lines, vector graphics, fashionable style, simple geometric shapes, Solid color background, Ultra high definition quality, Masterpiece, best quality, 4K"," (grey:0.8), orange, colorful, yellow, Not black and white, bad face, Blurred edges, Stroke, Three colors, Disconnected line, bad face, watermark, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["LOGO Design"],SDXL-IP0.25,SDXL-IP0.45
Miniatures,3DIcon_SDXLIP_v0,0.8,3dIcon_SDXLIP_v0_embeddings,solo object,"(white background:2), icon, Made of simple circles and squares, cartoon drawing, Simple, (cartoon:1.6), minimalist  styling, small model, No details, Q version,  easy, (Rich colors:1.4), (clay texture:0.5), (Simple drawing:1.8), Geometry,  children toy","(detail:2.0), number, chaotic structure, strange hands, strange shape, complex lines,  Scenes, face,  obvious light and shadow, detail, More than three colors, multiplepatterns, strange structure,signature, watermark, username, text, error, blurred edges, solid, lowquality, aliasing, distorted, blurry glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, twisted, excessive exaggerated pose, exaggerated limbs, grainy, duplicate, error beginner, fake, hyper, glitch ",Realistic,colossusProjectXLSFW,["LOGO Design"],SDXL-IP0.2,SDXL-IP0.2
Pastel Heart,LoveIcon_SDXLIP_v0,1,loveIcon_SDXLIP_v0_embeddings,solo object,"(white background:2), icon, Made of simple circles and squares, cartoon drawing, Simple, (cartoon:1.6), minimalist  styling, small model, No details, Q version,  easy, (red and pink and white colors:0.6), (clay texture:0.5), (Simple drawing:1.8), Geometry,  children toy,  Love elements are everywhere, accurate styling","(detail:2.0), number, chaotic structure, strange hands, strange shape, complex lines,  Scenes, face,  obvious light and shadow, detail, More than three colors, multiplepatterns, strange structure,signature, watermark, username, text, error, blurred edges, solid, lowquality, aliasing, distorted, blurry glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, twisted, excessive exaggerated pose, exaggerated limbs, grainy, duplicate, error beginner, fake, hyper, glitch ",Realistic,colossusProjectXLSFW,["LOGO Design"],SDXL-IP0.2,SDXL-IP0.2
Monochrome Elegance,bwPhotography_SDXLIP_v0,1,bwPhotography_SDXLIP_v0_embeddings,(black and white photo:1.3),"very detailed, best quality, Masterpiece, 4K, high resolution","Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Portrait Photography"],SDXL-IP0.35,SDXL-IP0.35
Halloween Cutie,halloweenIcon_SDXLIP_v0,1,halloweenIcon_SDXLIP_v0_embeddings,,"(white background:2), icon, Made of simple circles and squares, cartoon drawing, Simple, (cartoon:1.6), minimalist  styling, small model, No details, Q version,  easy, (Rich colors:1.4), (Simple drawing:1.8), Geometry,  children toy, game icon","(detail:2.0), number, chaotic structure, strange hands, strange shape, complex lines,  Scenes, face,  obvious light and shadow, detail, More than three colors, multiplepatterns, strange structure,signature, watermark, username, text, error, blurred edges, solid, lowquality, aliasing, distorted, blurry glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, twisted, excessive exaggerated pose, exaggerated limbs, grainy, duplicate, error beginner, fake, hyper, glitch ",Realistic,colossusProjectXLSFW,["LOGO Design"],SDXL-IP0.4,SDXL-IP0.4
Battlecraft,weaponIcon_SDXLIP_v0,0.9,weaponIcon_SDXLIP_v0_embeddings,,"(white background:2), icon, accurate styling, cartoon drawing, Simple, (cartoon:1.6), minimalist  styling, small model, No details, Q version,  easy, (Rich colors:1.4), (Smooth metallic texture:1.3), (Simple drawing:1.8), Geometry,  children toy, game icon, steel texture","(detail:2.0), number, chaotic structure, strange hands, strange shape, complex lines,  Scenes, face,  obvious light and shadow, detail, More than three colors, multiplepatterns, strange structure,signature, watermark, username, text, error, blurred edges, solid, lowquality, aliasing, distorted, blurry glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, twisted, excessive exaggerated pose, exaggerated limbs, grainy, duplicate, error beginner, fake, hyper, glitch ",Realistic,,["LOGO Design"],SDXL-IP0.3,SDXL-IP0.3
Monotone Vogue,colorfulMagazine_SDXLIP_v0,1,colorfulMagazine_SDXLIP_v0_ip_image_embeddings,Solid color background,"High brightness colors, A happy atmosphere, very detailed, High saturation, best quality, 4K","Low saturation color, Extra teeth, Not a solid color background, Watermark, blurred gaze, unreasonable pupils, blurred pupils, six fingers, unreasonable fingers, unreasonable face, blurred image, Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,RealVisXL_V3.0,["Portrait Photography"],SDXL-IP0.35,SDXL-IP0.35
Film Narrative,emotionlessPhotography_SDXLIP_v0,1,emotionlessPhotography_SDXLIP_v0_ip_image_embeddings,"Best quality, high saturation, warm tones,","4k, Realistic, Advanced color matching, serious, retro","Smooth face, Non three-dimensional facial features, Blurred facial features, No sharpeness, puppet, Extra fingers, Low saturation color, smile, Watermark, blurred gaze, unreasonable pupils, blurred pupils, six fingers, anger, unreasonable fingers, unreasonable face, blurred image, Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Portrait Photography"],SDXL-IP0.25,SDXL-IP0.35
Vibrant Whimsy,childrenIllustration_SDXLIP_v0,1,childrenIllustration_SDXLIP_v0_ip_image_embeddings,,"Cartoon illustration, character illustration, character design style, brush stroke texture, childlike illustration style, animated character concept art, storybook illustration style, 2D game art style, in the style of 2d game art, naturalistic color palette","painting, redundant people, people, pastel, drawing, graphite, impressionism, noisy, blurry, stretched, soft, distorted, bad light, ugly, disfigured, realistic, anime, photography, cluttered, worst quality, low quality, signature, watermark, text, Poorly drawn hands, poorly drawn face, poor anatomy, poor proportions, extra limbs, cloned face, disfigurement, overall proportions, misshapen limbs, missing arms, missing legs",SDXL,,["Illustration Design"],SDXL-IP0.3,SDXL-IP0.3
Illustrative Nostalgia,classicIllustration_SDXLIP_v0,0.9,classicIllustration_SDXLIP_v0_ip_image_embeddings,,"high saturation color, sharpening, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, J. C. Leyendecker style, classic illustration, the right shape","Weird outfit combination, redundant people, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Illustration Design"],SDXL-IP0.2,SDXL-IP0.2
Linear Cartoon,colorDraftIllustration_SDXLIP_v0,1,colorDraftIllustration_SDXLIP_v0_ip_image_embeddings,solo,"(white background:2.0), all body, beautiful eyes,  accurate skin tone, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, accurate skin tone","wrong shape, (watermark:1.8), Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.4,SDXL-IP0.4
Cute Exaggeration,pixar_SDXLIP_v0,1,pixar_SDXLIP_v0_ip_image_embeddings,"(pixar style:1.7), solo","(white background:2.0), ( full body:2), beautiful eyes,  high saturation color, beautiful eyes,  Ultra high definition quality, best quality, soft lighting, 4K,  exact proportions, normal proportions, accurate expression, Place it in a centered position.","(watermark:1.8), small eyes,  wrong human proportions, wrong limbs, (Wrinkled brows on the face:1.2), (strange expression:1.3), strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.3,SDXL-IP0.3
Vivacious Figurine,avatarIcon_SDXLIP_v0,1,avatarIcon_SDXLIP_v0_ip_image_embeddings,front,"(bright white background:2.0), Avatar, (hair texture:1.7), appropriate avatar composition, (bright colors:1.2), smile, clay material, Accurate color, Delicate texture, perfect design,  perfect composition, masterpiece, high quality, best quality, realistic, best picture quality,  high detail, high resolution, 4K,  accurate expression,","(gray background:2.0),(black background:2.0) wrong hair color, Wrong clothes, Wrong color combination, black background, strange hairstyle, body, strange skin color,  signature, watermark, username, text, error, blurred edges, solid, low-quality, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, duplicate, error, beginner, fake, hyper, glitch,  overexposed, monochrome, skin spots, skin blemishe, mutated hands, blurry",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.4,SDXL-IP0.4
Studio Portrait,studioPortraitPhotography_SDXLIP_v1,1,studioPortraitPhotography_SDXLIP_v1_ip_image_embeddings,"(Solid color background:1.1), soft light, studio lighting","exquisite and beautiful face, best quality, Masterpiece, 4K","buck teeth, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Portrait Photography"],SDXL-IP0.4,SDXL-IP0.2
Linear Vivacity,role_SDXLIP_v0,1,role_SDXLIP_v0_ip_image_embeddings,"solo,"," (white background:2.0) , (all body:1.8), beautiful eyes, (shoe:0.4),  Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, accurate skin tone, (white skin:0.3), Clean lines, pretty face","(black skin:0.4), wrong shape, (watermark:1.8), Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.4,SDXL-IP0.4
Vivid Stylization,azamat_SDXLIP_v0,1,azamat_SDXLIP_v0_ip_image_embeddings,"solo object, (pure white background:2.0),   full body, shoe, ","beautiful eyes,  Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K, accurate skin tone, Character design, At the center of the screen","Wrong skin color, wrong shape, Strange posture, (watermark:1.8), multiple , (gray background:1.6),  Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.4,SDXL-IP0.4
Storytime Whimsy,ame_SDXLIP_v0,1,ame_SDXLIP_v0_ip_image_embeddings,"signle , ( white background:2), Standing posture,"," character illustration, A small body, character design style, brush stroke texture, childlike illustration style, animated character concept art, storybook illustration style,  naturalistic color palette, ","Other colors background, Wrong limbs, The Extra Man, Strange weapon, Untimely accessories, Wrong skin color, wrong shape, Strange posture, (watermark:1.8), multiple , (gray background:1.6),  Blurred edges, text, low-quality, signature, strange frown, Weird and inappropriate clothes, Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Character Design"],SDXL-IP0.3,SDXL-IP0.3
Dreamlike Portraiture,dreamPhotography_SDXLIP_v0,1,dreamPhotography_SDXLIP_v0_ip_image_embeddings,Soft lighting,"best quality, 4k, Realistic, surrealist: dreamlike imagery, valentine penrose, Oil painting sense, dreamy","Exposure, Blurry Eyes, smooth face, watermark, Non three-dimensional facial features, Blurred facial features, No sharpeness, puppet, Extra fingers, Low saturation color, smile, Watermark, blurred gaze, unreasonable pupils, blurred pupils, six fingers, anger, unreasonable fingers, unreasonable face, blurred image, Narrow shoulders, Big head, perspective error, structural error, (nude:1.2), Breasts, nipples, exposed body, naked, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,colossusProjectXLSFW,["Portrait Photography"],SDXL-IP0.35,SDXL-IP0.35
Line & Wash,vintageIllustration_SDXLIP_v0,1,vintageIllustration_SDXLIP_v0_ip_image_embeddings," (light tone:1.1), (Printmaking:0.5), (pen pastels:0.8), ","line art, line style, masterpiece, best quality","moon, bad face, bad hands, extra person, person, graphite, noisy, blurry, stretched, soft, distorted, bad light, ugly, disfigured, realistic, anime, photography, clutter, worst quality, low quality, signature, Watermark, text, poorly drawn hand, poorly drawn elongated face, poor anatomy, poor proportions, extra limbs, cloned face, disfigurement, overall proportions, misshapen limbs, missing arms, missing legs",Realistic,colossusProjectXLSFW,["Illustration Design"],SDXL-IP0.3,SDXL-IP0.3
